Booking ID,Customer ID,Customer Name,Booking Type,Booking Date,Status,Time Slot,Duration(mins),Price,Facility
279d,0090,Customer 1,Facility,2025-05-30,Pending,10:00 AM,90,43,Party Room
415b,b82d,Customer 2,Birthday Party,2025-05-29,Pending,02:00 PM,84,182,Party Room
2100,6bbb,Customer 3,Birthday Party,2025-05-09,Confirmed,11:00 AM,120,208,Play Area
7493,f16f,Customer 4,Birthday Party,2025-06-07,Pending,12:00 PM,90,203,Play Area
6272,eb29,Customer 5,Class,2025-04-13,Pending,03:00 PM,120,161,No Facility
6fe4,7d3d,Customer 6,Birthday Party,2025-05-10,Confirmed,11:00 AM,45,278,Party Room
ab8e,a0e0,Customer 7,Facility,2025-05-18,Pending,02:00 PM,84,162,Party Room
8f0f,7fe0,Customer 8,Birthday Party,2025-04-23,Confirmed,02:00 PM,84,283,Party Room
d10d,4dc3,Customer 9,Birthday Party,2025-05-19,Confirmed,02:00 PM,84,0,Party Room
13e5,87eb,Customer 10,Facility,2025-06-02,Pending,04:00 PM,90,44,Play Area
a0f4,4482,Customer 11,Birthday Party,2025-04-08,Pending,02:00 PM,84,48,Party Room
fb50,22ad,Customer 12,Class,2025-04-20,Pending,01:00 PM,45,186,No Facility
e04b,a94b,Customer 13,Birthday Party,2025-06-11,Pending,02:00 PM,84,198,Play Area
74b8,6a0d,Customer 14,Class,2025-06-04,Pending,04:00 PM,120,83,No Facility
e6bc,1a24,Customer 15,Facility,2025-04-06,Pending,10:00 AM,90,181,Play Area
e8e2,489a,Customer 16,Class,2025-05-10,Confirmed,10:00 AM,90,31,No Facility
9bdf,41e8,Customer 17,Class,2025-03-26,Pending,02:00 PM,84,0,No Facility
c340,90c4,Customer 18,Facility,2025-04-25,Confirmed,09:00 AM,120,0,Party Room
75c5,cd52,Customer 19,Class,2025-05-29,Confirmed,02:00 PM,84,173,No Facility
998c,e6a1,Customer 20,Class,2025-03-31,Pending,02:00 PM,84,0,No Facility
1321,0854,Customer 21,Birthday Party,2025-05-13,Confirmed,11:00 AM,90,151,Play Area
9066,9b2e,Customer 22,Class,2025-05-20,Confirmed,11:00 AM,45,162,No Facility
b15b,4934,Customer 23,Class,2025-03-30,Pending,12:00 PM,120,116,No Facility
848f,35ea,Customer 24,Birthday Party,2025-06-10,Pending,09:00 AM,120,135,Play Area
0ee7,dbc6,Customer 25,Birthday Party,2025-06-03,Pending,10:00 AM,90,121,Party Room
